win,diff
0,21.55888968
1,8.13055556
0,11.93388968
1,13.42833412
1,9.625
0,2.90833334
0,3.51666666
1,28.99954624
1,13.39583334
1,15.37083334
0,35.25833334
1,31.35732606
1,44.93749997
1,53.45371293
1,26.7625
1,8.49583334
0,17.96149272
1,24.45416669
0,29.56666663
0,3.588961
1,28.39583334
1,60.49954627
1,9.90878709
1,23.20371291
1,13.81204624
1,48.21103897
1,25.03749997
1,13.025
1,43.64583336
1,23.38704625
1,28.99954624
0,33.73704627
1,5.00878709
1,31.35732606
0,15.1875
1,29.18287958
1,51.79999997
1,28.2125
0,5.79583333
0,12.2885073
0,15.37083334
1,34.94628706
1,26.7625
1,16.85371291
1,21.44853897
0,0.18333334
