Millburn A,0,1,1,0,0,1,4,7,0,1,1,1,4,6,10,18,3,6,8,13,11,16,17,23,16,24,20,36,16,19,30,31,22,28,32,16,17,42,23,20,29,17,22,17,20,14,12,7,29,21,11,13,29,21,11,8,19,13,14,2,16,9,6,1,11,4,1,1,5,2,3,1,20,12,5,3,4,4,1,2,6,4,0,0,2,1,1,0,0,1,0,0,0,1,0,0
St. Marks A,0,0,0,0,0,1,0,6,0,1,1,3,5,7,9,21,3,2,5,8,8,14,14,22,11,31,20,28,12,17,32,21,17,32,30,24,29,29,34,31,29,21,25,16,17,14,15,6,17,21,17,19,27,12,14,9,21,11,10,8,21,9,5,1,10,5,5,1,6,5,0,2,14,9,9,4,11,3,5,0,3,2,1,3,5,2,1,0,1,0,0,0,0,0,0,0
Allderdice A,0,0,0,0,0,0,3,6,0,1,0,2,2,15,7,12,3,9,6,7,10,10,9,28,15,26,13,19,8,7,27,24,17,33,27,20,24,28,28,14,25,25,26,11,24,24,22,12,18,26,21,19,26,27,20,10,16,16,12,6,16,8,8,2,9,8,4,2,5,3,1,0,19,13,6,3,9,7,3,4,4,5,1,0,4,0,1,0,3,1,0,0,3,0,2,0
Colleyville Heritage A,0,0,0,0,0,1,3,2,1,1,1,1,1,6,9,14,4,6,7,14,5,7,17,20,16,24,20,23,13,13,28,23,17,24,34,23,24,23,28,25,27,17,31,16,24,22,14,8,25,22,21,15,21,19,18,10,22,9,8,11,17,9,14,7,8,4,3,3,10,5,2,2,16,7,10,6,4,9,3,2,4,3,1,1,2,2,2,1,4,0,1,0,0,0,0,0
North Gwinnett A,0,0,0,0,1,0,2,0,0,0,0,0,4,4,4,15,3,5,1,6,8,11,14,15,19,17,14,19,13,18,17,23,14,36,33,20,21,27,19,32,28,28,14,12,21,19,13,10,35,25,22,12,20,22,30,11,22,11,13,8,18,10,16,7,12,12,10,4,2,6,3,2,16,13,6,6,5,8,2,3,9,4,4,1,3,1,0,0,3,0,0,2,0,1,0,0
Plano West A,0,0,0,0,0,0,1,1,0,0,0,2,8,1,7,10,2,4,3,7,5,9,14,12,17,22,28,17,8,17,21,31,17,23,24,30,20,26,24,20,24,23,20,25,23,20,14,11,20,20,22,20,26,21,18,9,21,20,20,4,18,13,11,4,12,6,9,3,11,7,2,2,19,11,11,8,10,4,1,3,9,3,1,0,5,0,2,0,0,2,0,0,1,0,0,0
Walton A,0,0,0,0,0,0,1,3,0,0,0,3,1,4,4,17,1,3,2,2,1,8,7,11,10,23,33,26,12,7,19,28,16,18,28,33,19,26,22,17,32,18,22,19,23,29,16,18,30,13,32,23,20,23,12,18,23,11,18,8,10,16,6,7,12,14,6,3,4,1,3,0,16,9,7,8,9,6,10,4,4,4,3,1,4,2,2,3,4,0,3,0,3,3,0,0
Early College at Guilford A,0,0,0,0,0,0,1,1,0,0,1,2,2,2,8,9,1,6,4,9,2,9,8,13,10,25,15,18,4,19,15,24,10,21,19,24,26,22,24,23,27,21,15,14,27,24,18,13,20,18,22,20,26,24,20,15,20,12,13,6,21,16,6,12,15,9,8,8,14,2,6,3,19,18,12,9,19,8,4,5,6,2,3,1,7,0,3,2,2,1,1,0,4,1,1,0
Cistercian A,0,0,0,0,0,2,2,2,0,0,1,0,1,0,8,11,0,5,2,6,5,11,7,17,12,19,15,23,10,12,17,36,13,18,20,17,16,16,23,20,27,15,16,18,23,19,18,8,15,29,27,21,26,21,17,17,25,29,11,13,18,15,15,6,22,8,5,4,13,7,5,1,25,8,8,8,14,7,3,4,11,2,3,4,9,2,3,0,2,0,1,1,3,0,1,0
Parish Episcopal A,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,7,0,3,3,6,2,7,7,13,10,15,19,23,8,8,14,29,12,29,23,19,22,20,37,24,15,20,25,23,17,28,16,13,15,37,20,24,26,19,21,19,32,17,15,6,13,15,12,7,21,13,5,4,8,7,6,4,17,14,12,7,13,4,2,5,8,4,1,1,4,6,1,2,0,4,0,1,2,2,1,0
