win,diff
1,5.79583333
0,-5.79583333
1,-2.4625
0,2.4625
1,8.73409091
0,-8.73409091
1,37.85909093
0,-37.85909093
1,29.12500002
0,-29.12500002
1,29.12500002
0,-29.12500002
1,10.5416666
0,-10.5416666
1,4.14159174
0,-4.14159174
1,51.33068179
0,-51.33068179
1,-32.35714567
0,32.35714567
1,51.33068179
0,-51.33068179
1,10.5416666
0,-10.5416666
1,36.64742345
0,-36.64742345
1,40.78901519
0,-40.78901519
1,10.95600931
0,-10.95600931
1,21.40113636
0,-21.40113636
1,47.04040401
0,-47.04040401
1,15.24628709
0,-15.24628709
1,14.68325834
0,-14.68325834
1,36.49873741
0,-36.49873741
1,4.14159174
0,-4.14159174
1,36.0843947
0,-36.0843947
1,25.5427281
0,-25.5427281
1,4.29027778
0,-4.29027778
1,5.9
0,-5.9
1,8.29861111
0,-8.29861111
1,-17.31250002
0,17.31250002
1,24.125
0,-24.125
1,9.92083334
0,-9.92083334
1,1.72916667
0,-1.72916667
1,2.56666667
0,-2.56666667
1,7.31666667
0,-7.31666667
1,-22.77083334
0,22.77083334
1,6.25
0,-6.25
1,-6.65277778
0,6.65277778
1,19.14482606
0,-19.14482606
1,33.38649272
0,-33.38649272
1,16.87083334
0,-16.87083334
1,17.06527778
0,-17.06527778
1,16.80833333
0,-16.80833333
1,23.72083334
0,-23.72083334
1,19.7375
0,-19.7375
1,9.83611111
0,-9.83611111
1,9.27777778
0,-9.27777778
1,8.38194445
0,-8.38194445
1,35.95315939
0,-35.95315939
1,29.62083334
0,-29.62083334
1,1.5375
0,-1.5375
1,27.14861113
0,-27.14861113
1,-3.03333334
0,3.03333334
1,-0.40416666
0,0.40416666
1,-9.03194445
0,9.03194445
1,9.27083334
0,-9.27083334
1,43.26982606
0,-43.26982606
1,7.22916667
0,-7.22916667
1,17.275
0,-17.275
1,22.30416667
0,-22.30416667
1,6.85
0,-6.85
1,15.52777778
0,-15.52777778
1,28.1277778
0,-28.1277778
1,19.54899272
0,-19.54899272
1,14.24166666
0,-14.24166666
1,13.49305556
0,-13.49305556
1,16.40416667
0,-16.40416667
1,9.88333334
0,-9.88333334
1,36.41982606
0,-36.41982606
1,18.85000002
0,-18.85000002
1,5.49583334
0,-5.49583334
1,10.81527778
0,-10.81527778
1,34.3777778
0,-34.3777778
1,0.97916667
0,-0.97916667
1,4.22222222
0,-4.22222222
1,0.46666667
0,-0.46666667
1,-13.64899272
0,13.64899272
1,13.8375
0,-13.8375
1,4.7125
0,-4.7125
1,3.99027777
0,-3.99027777
1,-4.0135073
0,4.0135073
1,12.30555556
0,-12.30555556
1,-0.35
0,0.35
1,13.29899272
0,-13.29899272
1,3.57222222
0,-3.57222222
1,17.66250002
0,-17.66250002
1,-13.64899272
0,13.64899272
1,9.03194445
0,-9.03194445
1,23.91666666
0,-23.91666666
1,-13.42833412
0,13.42833412
1,-6.425
0,6.425
1,13.71906566
0,-13.71906566
1,-0.29073154
0,0.29073154
1,7.00333412
0,-7.00333412
1,6.71573154
0,-6.71573154
1,6.71573154
0,-6.71573154
1,37.80522803
0,-37.80522803
