win,diff
1,1.27
1,1.27
0,-1.27
1,0.59
1,0.59
0,-0.59
1,3.57
1,3.57
0,-3.57
1,1.53
1,1.53
0,-1.53
1,2.04
1,2.04
0,-2.04
1,-0.82
0,0.82
0,0.82
1,-1.52
0,1.52
0,1.52
1,-1.17
0,1.17
0,1.17
1,0.58
1,0.58
0,-0.58
1,0.85
1,0.85
0,-0.85
1,-2.18
0,2.18
0,2.18
1,4.24
1,4.24
0,-4.24
1,-1.09
0,1.09
0,1.09
1,-2.84
0,2.84
0,2.84
1,-0.14
0,0.14
0,0.14
1,0.76
1,0.76
0,-0.76
1,2.02
1,2.02
0,-2.02
1,3.25
1,3.25
0,-3.25
1,0.66
1,0.66
0,-0.66
1,-0.92
0,0.92
0,0.92
1,3.84
1,3.84
0,-3.84
1,-0.58
0,0.58
0,0.58
1,1.62
1,1.62
0,-1.62
1,2.62
1,2.62
0,-2.62
1,1.01
1,1.01
0,-1.01
1,1.57
1,1.57
0,-1.57
1,2.57
1,2.57
0,-2.57
1,1.61
1,1.61
0,-1.61
1,1.82
1,1.82
0,-1.82
1,1.17
1,1.17
0,-1.17
1,-0.61
0,0.61
0,0.61
1,0.01
1,0.01
0,-0.01
1,2.47
1,2.47
0,-2.47
1,-3.62
0,3.62
0,3.62
1,2.62
1,2.62
0,-2.62
1,-2.53
0,2.53
0,2.53
1,1.54
1,1.54
0,-1.54
1,3.21
1,3.21
0,-3.21
1,1.36
1,1.36
0,-1.36
1,-2.62
0,2.62
0,2.62
1,4.87
1,4.87
0,-4.87
1,0.16
1,0.16
0,-0.16
1,2.82
1,2.82
0,-2.82
1,2.79
1,2.79
0,-2.79
1,1.96
1,1.96
0,-1.96
1,1.5
1,1.5
0,-1.5
1,-0.56
0,0.56
0,0.56
1,3.27
1,3.27
0,-3.27
1,1.77
1,1.77
0,-1.77
1,2.78
1,2.78
0,-2.78
1,0.1
1,0.1
0,-0.1
1,3.86
1,3.86
0,-3.86
1,-0.59
0,0.59
0,0.59
1,2.15
1,2.15
0,-2.15
1,2.91
1,2.91
0,-2.91
1,0.8
1,0.8
0,-0.8
1,1.55
1,1.55
0,-1.55
1,3.07
1,3.07
0,-3.07
1,3.18
1,3.18
0,-3.18
1,-1.43
0,1.43
0,1.43
1,4.55
1,4.55
0,-4.55
1,-1.53
0,1.53
0,1.53
1,4.79
1,4.79
0,-4.79
1,-1.28
0,1.28
0,1.28
1,-0.28
0,0.28
0,0.28
1,1.66
1,1.66
0,-1.66
1,3.38
1,3.38
0,-3.38
1,1.17
1,1.17
0,-1.17
1,0.36
1,0.36
0,-0.36
1,1.94
1,1.94
0,-1.94
1,2.21
1,2.21
0,-2.21
1,3.99
1,3.99
0,-3.99
1,0.34
1,0.34
0,-0.34
1,-0.55
0,0.55
0,0.55
1,2.53
1,2.53
0,-2.53
1,1.08
1,1.08
0,-1.08
1,1.86
1,1.86
0,-1.86
1,0.95
1,0.95
0,-0.95
1,-0.09
0,0.09
0,0.09
1,0.67
1,0.67
0,-0.67
1,2.03
1,2.03
0,-2.03
1,-0.35
0,0.35
0,0.35
1,2.09
1,2.09
0,-2.09
1,-1.14
0,1.14
0,1.14
1,-2.5
0,2.5
0,2.5
1,3.34
1,3.34
0,-3.34
1,0.31
1,0.31
0,-0.31
1,0.44
1,0.44
0,-0.44
1,-3.9
0,3.9
0,3.9
1,1.25
1,1.25
0,-1.25
1,0.89
1,0.89
0,-0.89
1,-0.05
0,0.05
0,0.05
1,4.44
1,4.44
0,-4.44
1,3.43
1,3.43
0,-3.43
1,1.59
1,1.59
0,-1.59
1,1.29
1,1.29
0,-1.29
1,-0.77
0,0.77
0,0.77
1,-0.9
0,0.9
0,0.9
1,1.69
1,1.69
0,-1.69
1,1.51
1,1.51
0,-1.51
1,-1.33
0,1.33
0,1.33
1,1.07
1,1.07
0,-1.07
1,2.42
1,2.42
0,-2.42
1,2.07
1,2.07
0,-2.07
1,2.47
1,2.47
0,-2.47
1,-1.61
0,1.61
0,1.61
1,3.48
1,3.48
0,-3.48
1,2.39
1,2.39
0,-2.39
1,1.18
1,1.18
0,-1.18
1,2.78
1,2.78
0,-2.78
1,-1.26
0,1.26
0,1.26
1,2.03
1,2.03
0,-2.03
1,2.13
1,2.13
0,-2.13
1,1.37
1,1.37
0,-1.37
1,-0.3
0,0.3
0,0.3
1,2.21
1,2.21
0,-2.21
1,2.25
1,2.25
0,-2.25
1,4.6
1,4.6
0,-4.6
1,1.45
1,1.45
0,-1.45
1,1.66
1,1.66
0,-1.66
1,-1.66
0,1.66
0,1.66
1,4.64
1,4.64
0,-4.64
1,1.11
1,1.11
0,-1.11
1,-0.6
0,0.6
0,0.6
1,1.29
1,1.29
0,-1.29
1,2.13
1,2.13
0,-2.13
1,1.84
1,1.84
0,-1.84
1,2.94
1,2.94
0,-2.94
1,1.49
1,1.49
0,-1.49
1,2.17
1,2.17
0,-2.17
1,4.84
1,4.84
0,-4.84
1,-1.87
0,1.87
0,1.87
1,0.65
1,0.65
0,-0.65
1,2.81
1,2.81
0,-2.81
1,1.22
1,1.22
0,-1.22
1,1.53
1,1.53
0,-1.53
1,-1.2
0,1.2
0,1.2
1,4.69
1,4.69
0,-4.69
1,-2.42
0,2.42
